ts,uid,id.orig_h,id.orig_p,id.resp_h,id.resp_p,proto,service,duration,orig_bytes,resp_bytes,conn_state,local_orig,local_resp,missed_bytes,history,orig_pkts,orig_ip_bytes,resp_pkts,resp_ip_bytes,tunnel_parents,ip_proto,trans_depth,method,host,uri,referrer,version,user_agent,origin,request_body_len,response_body_len,status_code,status_msg,info_code,info_msg,tags,username,password,proxied,orig_fuids,orig_filenames,orig_mime_types,resp_fuids,resp_filenames,resp_mime_types
2026-05-07 17:23:37.844315052,C8B9rh1D6wiGZtXIw4,172.30.0.141,43606,172.30.0.40,80,,,,,,,,,,,,,,,,,1,POST,target_nginx,/rudy,TESTING_PURPOSES_ONLY,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_2) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/33.0.1750.152 Safari/537.36Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_2) AppleWebKit/537.75.14 (KHTML, like Gecko) Version/7.0.3 Safari/537.75.14",,92,0,,,,,(empty),,,,FxTnft3xbpTZjsyVd,,text/plain,,,
2026-05-07 17:23:38.177865982,CFoliscrX8QbkPZ6l,172.30.0.141,43612,172.30.0.40,80,tcp,http,0 days 00:00:56.996819,568,0,S1,T,T,0,ShADa,15,1356,14,736,,6,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-07 17:23:38.177948952,CFoliscrX8QbkPZ6l,172.30.0.141,43612,172.30.0.40,80,,,,,,,,,,,,,,,,,1,POST,target_nginx,/rudy,TESTING_PURPOSES_ONLY,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_2) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/33.0.1750.152 Safari/537.36Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_2) AppleWebKit/537.75.14 (KHTML, like Gecko) Version/7.0.3 Safari/537.75.14",,88,0,,,,,(empty),,,,F30GQEc9PSXmtZQw4,,text/plain,,,
2026-05-07 17:23:38.511486053,CVDqiF8YYSZrhAlR3,172.30.0.141,43626,172.30.0.40,80,tcp,http,0 days 00:00:56.663210,569,0,S1,T,T,0,ShADa,15,1357,14,736,,6,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-07 17:23:38.511595011,CVDqiF8YYSZrhAlR3,172.30.0.141,43626,172.30.0.40,80,,,,,,,,,,,,,,,,,1,POST,target_nginx,/rudy,TESTING_PURPOSES_ONLY,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_2) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/33.0.1750.152 Safari/537.36Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_2) AppleWebKit/537.75.14 (KHTML, like Gecko) Version/7.0.3 Safari/537.75.14",,89,0,,,,,(empty),,,,Fixk9edZe5U4vUB9e,,text/plain,,,
2026-05-07 17:23:38.845208883,CdSjdIhN8AJswn3ph,172.30.0.141,43640,172.30.0.40,80,tcp,http,0 days 00:00:56.329501,566,0,S1,T,T,0,ShADa,15,1354,14,736,,6,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-07 17:23:38.845285892,CdSjdIhN8AJswn3ph,172.30.0.141,43640,172.30.0.40,80,,,,,,,,,,,,,,,,,1,POST,target_nginx,/rudy,TESTING_PURPOSES_ONLY,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_2) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/33.0.1750.152 Safari/537.36Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_2) AppleWebKit/537.75.14 (KHTML, like Gecko) Version/7.0.3 Safari/537.75.14",,86,0,,,,,(empty),,,,FYYqgR2GGKsLUWHxfj,,text/plain,,,
2026-05-07 17:23:39.178818941,COYEZ32dM71hw4ITVf,172.30.0.141,43648,172.30.0.40,80,tcp,http,0 days 00:00:55.995906,560,0,S1,T,T,0,ShADa,15,1348,14,736,,6,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-07 17:23:39.178894043,COYEZ32dM71hw4ITVf,172.30.0.141,43648,172.30.0.40,80,,,,,,,,,,,,,,,,,1,POST,target_nginx,/rudy,TESTING_PURPOSES_ONLY,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_2) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/33.0.1750.152 Safari/537.36Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_2) AppleWebKit/537.75.14 (KHTML, like Gecko) Version/7.0.3 Safari/537.75.14",,80,0,,,,,(empty),,,,FPBQKCzHsaclrX9Xc,,text/plain,,,
2026-05-07 17:23:39.512455940,C9A8Jb1bs4UEAx8kIc,172.30.0.141,43658,172.30.0.40,80,tcp,http,0 days 00:00:55.662285,568,0,S1,T,T,0,ShADa,15,1356,14,736,,6,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-07 17:23:39.512583971,C9A8Jb1bs4UEAx8kIc,172.30.0.141,43658,172.30.0.40,80,,,,,,,,,,,,,,,,,1,POST,target_nginx,/rudy,TESTING_PURPOSES_ONLY,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_2) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/33.0.1750.152 Safari/537.36Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_2) AppleWebKit/537.75.14 (KHTML, like Gecko) Version/7.0.3 Safari/537.75.14",,88,0,,,,,(empty),,,,FqiY1g127sqkzrS2nc,,text/plain,,,
2026-05-07 17:23:39.846136093,CStt5y394pNW9aiSj,172.30.0.141,43668,172.30.0.40,80,tcp,http,0 days 00:00:55.328621,559,0,S1,T,T,0,ShADa,15,1347,14,736,,6,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-07 17:23:39.846220970,CStt5y394pNW9aiSj,172.30.0.141,43668,172.30.0.40,80,,,,,,,,,,,,,,,,,1,POST,target_nginx,/rudy,TESTING_PURPOSES_ONLY,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_2) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/33.0.1750.152 Safari/537.36Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_2) AppleWebKit/537.75.14 (KHTML, like Gecko) Version/7.0.3 Safari/537.75.14",,79,0,,,,,(empty),,,,FPOYEk3JEhgfNAlLOi,,text/plain,,,
2026-05-07 17:23:40.179750919,CFiOOp2Hv5k2YEnxZa,172.30.0.141,43676,172.30.0.40,80,tcp,http,0 days 00:00:54.995020,565,0,S1,T,T,0,ShADa,15,1353,14,736,,6,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-07 17:23:40.179832935,CFiOOp2Hv5k2YEnxZa,172.30.0.141,43676,172.30.0.40,80,,,,,,,,,,,,,,,,,1,POST,target_nginx,/rudy,TESTING_PURPOSES_ONLY,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_2) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/33.0.1750.152 Safari/537.36Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_2) AppleWebKit/537.75.14 (KHTML, like Gecko) Version/7.0.3 Safari/537.75.14",,85,0,,,,,(empty),,,,FeS3zX3XVEYpye2y1g,,text/plain,,,
2026-05-07 17:23:40.513359070,CM3pLo1J06HlFb7Oo7,172.30.0.141,43680,172.30.0.40,80,tcp,http,0 days 00:00:00.334043,327,354,SF,T,T,0,ShADadFf,6,647,4,570,,6,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-07 17:23:40.513438940,CeZmsX23CMXs2Xg5Mi,172.30.0.141,43692,172.30.0.40,80,tcp,http,0 days 00:00:54.661347,563,0,S1,T,T,0,ShADa,15,1351,14,736,,6,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-07 17:23:40.513541936,CM3pLo1J06HlFb7Oo7,172.30.0.141,43680,172.30.0.40,80,,,,,,,,,,,,,,,,,1,GET,target_nginx,/rudy,TESTING_PURPOSES_ONLY,1.1,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_2) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/33.0.1750.152 Safari/537.36Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_2) AppleWebKit/537.75.14 (KHTML, like Gecko) Version/7.0.3 Safari/537.75.14",,0,153,405,METHOD NOT ALLOWED,,,(empty),,,,,,,F1iLtU2BIkNJRJFg26,,text/html
2026-05-07 17:23:40.513572931,CW11RMhZ36iToZ5P,172.30.0.141,43552,172.30.0.40,80,tcp,,0 days 00:00:54.660994,82,0,OTH,T,T,0,Da,12,706,12,624,,6,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-07 17:23:40.513583899,C4hxeS25zWUWfATdQ2,172.30.0.141,43554,172.30.0.40,80,tcp,,0 days 00:00:54.661001,75,0,OTH,T,T,0,Da,12,699,12,624,,6,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-07 17:23:40.513593912,CO0pqBiBW8Kzyxxo5,172.30.0.141,43558,172.30.0.40,80,tcp,,0 days 00:00:54.661005,71,0,OTH,T,T,0,Da,12,695,12,624,,6,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-07 17:23:40.513602972,CpsxrcYoKxwjOZ149,172.30.0.141,43564,172.30.0.40,80,tcp,,0 days 00:00:54.661007,81,0,OTH,T,T,0,Da,12,705,12,624,,6,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-07 17:23:40.513664007,COPol745rn3XgwsH98,172.30.0.40,38578,172.30.0.30,8080,tcp,http,0 days 00:00:00.001436,371,365,SF,T,T,0,ShADadFf,7,743,5,633,,6,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-07 17:23:40.513720988,CeZmsX23CMXs2Xg5Mi,172.30.0.141,43692,172.30.0.40,80,,,,,,,,,,,,,,,,,1,POST,target_nginx,/rudy,TESTING_PURPOSES_ONLY,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_2) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/33.0.1750.152 Safari/537.36Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_2) AppleWebKit/537.75.14 (KHTML, like Gecko) Version/7.0.3 Safari/537.75.14",,83,0,,,,,(empty),,,,FWNybf4gSGbAHUZ14c,,text/plain,,,
2026-05-07 17:23:40.513758897,COPol745rn3XgwsH98,172.30.0.40,38578,172.30.0.30,8080,,,,,,,,,,,,,,,,,1,GET,target_nginx,/rudy,TESTING_PURPOSES_ONLY,1.1,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_2) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/33.0.1750.152 Safari/537.36Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_2) AppleWebKit/537.75.14 (KHTML, like Gecko) Version/7.0.3 Safari/537.75.14",,0,153,405,METHOD NOT ALLOWED,,,(empty),,,,,,,FNomLw4h3KVWe5YqEb,,text/html
2026-05-07 17:23:40.847245932,CUIKq02rnIymebtcn1,172.30.0.141,43704,172.30.0.40,80,tcp,http,0 days 00:00:54.327574,562,0,S1,T,T,0,ShADa,15,1350,14,736,,6,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-07 17:23:40.847371101,CUIKq02rnIymebtcn1,172.30.0.141,43704,172.30.0.40,80,,,,,,,,,,,,,,,,,1,POST,target_nginx,/rudy,TESTING_PURPOSES_ONLY,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_2) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/33.0.1750.152 Safari/537.36Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_2) AppleWebKit/537.75.14 (KHTML, like Gecko) Version/7.0.3 Safari/537.75.14",,82,0,,,,,(empty),,,,FXJ5Sm31roYgNF8AQ7,,text/plain,,,
2026-05-07 17:23:41.180921078,CJA6mp4W6Y2eGTSJob,172.30.0.141,43710,172.30.0.40,80,tcp,http,0 days 00:00:53.993917,557,0,S1,T,T,0,ShADa,14,1293,13,684,,6,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-07 17:23:41.181044102,CJA6mp4W6Y2eGTSJob,172.30.0.141,43710,172.30.0.40,80,,,,,,,,,,,,,,,,,1,POST,target_nginx,/rudy,TESTING_PURPOSES_ONLY,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_2) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/33.0.1750.152 Safari/537.36Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_2) AppleWebKit/537.75.14 (KHTML, like Gecko) Version/7.0.3 Safari/537.75.14",,77,0,,,,,(empty),,,,FOzbav1S9AWP9xx3Nd,,text/plain,,,
2026-05-07 17:23:41.514549971,CFduJz4hJ5Atj7rfc1,172.30.0.141,43718,172.30.0.40,80,tcp,http,0 days 00:00:53.660319,548,0,S1,T,T,0,ShADa,14,1284,13,684,,6,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-07 17:23:41.514714955,CFduJz4hJ5Atj7rfc1,172.30.0.141,43718,172.30.0.40,80,,,,,,,,,,,,,,,,,1,POST,target_nginx,/rudy,TESTING_PURPOSES_ONLY,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_2) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/33.0.1750.152 Safari/537.36Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_2) AppleWebKit/537.75.14 (KHTML, like Gecko) Version/7.0.3 Safari/537.75.14",,68,0,,,,,(empty),,,,F8QDb81VGtw7EdjG4h,,text/plain,,,
2026-05-07 17:23:41.848299026,C0QVLxv2W64tcb4Jl,172.30.0.141,43722,172.30.0.40,80,tcp,http,0 days 00:00:53.326588,549,0,S1,T,T,0,ShADa,14,1285,13,684,,6,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-07 17:23:41.848411083,C0QVLxv2W64tcb4Jl,172.30.0.141,43722,172.30.0.40,80,,,,,,,,,,,,,,,,,1,POST,target_nginx,/rudy,TESTING_PURPOSES_ONLY,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_2) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/33.0.1750.152 Safari/537.36Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_2) AppleWebKit/537.75.14 (KHTML, like Gecko) Version/7.0.3 Safari/537.75.14",,69,0,,,,,(empty),,,,FQzdU47baVuzmFTa,,text/plain,,,
2026-05-07 17:23:42.181926966,ChgKVbcCn9vX2ddpe,172.30.0.141,43738,172.30.0.40,80,tcp,http,0 days 00:00:52.992990,561,0,S1,T,T,0,ShADa,14,1297,13,684,,6,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-07 17:23:42.182003021,ChgKVbcCn9vX2ddpe,172.30.0.141,43738,172.30.0.40,80,,,,,,,,,,,,,,,,,1,POST,target_nginx,/rudy,TESTING_PURPOSES_ONLY,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_2) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/33.0.1750.152 Safari/537.36Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_2) AppleWebKit/537.75.14 (KHTML, like Gecko) Version/7.0.3 Safari/537.75.14",,81,0,,,,,(empty),,,,Fg4CYO2JuwbHCcufui,,text/plain,,,
2026-05-07 17:23:42.515552998,CDJlXI3bP9cQXpwWPf,172.30.0.141,46136,172.30.0.40,80,tcp,http,0 days 00:00:52.659398,553,0,S1,T,T,0,ShADa,14,1289,13,684,,6,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-07 17:23:42.515717030,CDJlXI3bP9cQXpwWPf,172.30.0.141,46136,172.30.0.40,80,,,,,,,,,,,,,,,,,1,POST,target_nginx,/rudy,TESTING_PURPOSES_ONLY,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_2) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/33.0.1750.152 Safari/537.36Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_2) AppleWebKit/537.75.14 (KHTML, like Gecko) Version/7.0.3 Safari/537.75.14",,73,0,,,,,(empty),,,,FanK1J3V7rQ9fXHYZk,,text/plain,,,
2026-05-07 17:23:42.849298000,CWzfJ03KaHl0eVE899,172.30.0.141,46148,172.30.0.40,80,tcp,http,0 days 00:00:52.325689,549,0,S1,T,T,0,ShADa,14,1285,13,684,,6,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-07 17:23:42.849409103,CWzfJ03KaHl0eVE899,172.30.0.141,46148,172.30.0.40,80,,,,,,,,,,,,,,,,,1,POST,target_nginx,/rudy,TESTING_PURPOSES_ONLY,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_2) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/33.0.1750.152 Safari/537.36Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_2) AppleWebKit/537.75.14 (KHTML, like Gecko) Version/7.0.3 Safari/537.75.14",,69,0,,,,,(empty),,,,FwEyYZ1cGyxGR6k8d2,,text/plain,,,
2026-05-07 17:23:43.182974100,Cu44HckH692VaanQ4,172.30.0.141,46154,172.30.0.40,80,tcp,http,0 days 00:00:51.992068,557,0,S1,T,T,0,ShADa,14,1293,13,684,,6,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-07 17:23:43.183093071,Cu44HckH692VaanQ4,172.30.0.141,46154,172.30.0.40,80,,,,,,,,,,,,,,,,,1,POST,target_nginx,/rudy,TESTING_PURPOSES_ONLY,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_2) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/33.0.1750.152 Safari/537.36Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_2) AppleWebKit/537.75.14 (KHTML, like Gecko) Version/7.0.3 Safari/537.75.14",,77,0,,,,,(empty),,,,FxEjF5hz42Z7llWN7,,text/plain,,,
2026-05-07 17:23:43.516674995,CTabXt3yBtIYYqjCOe,172.30.0.141,46166,172.30.0.40,80,tcp,http,0 days 00:00:51.658406,557,0,S1,T,T,0,ShADa,14,1293,13,684,,6,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-07 17:23:43.516856909,CTabXt3yBtIYYqjCOe,172.30.0.141,46166,172.30.0.40,80,,,,,,,,,,,,,,,,,1,POST,target_nginx,/rudy,TESTING_PURPOSES_ONLY,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_2) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/33.0.1750.152 Safari/537.36Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_2) AppleWebKit/537.75.14 (KHTML, like Gecko) Version/7.0.3 Safari/537.75.14",,77,0,,,,,(empty),,,,Fn4WvmtAeHJD0DYW2,,text/plain,,,
2026-05-07 17:23:43.850445032,CeVjdp3XPJ1BtHIJQh,172.30.0.141,46172,172.30.0.40,80,tcp,http,0 days 00:00:51.324655,562,0,S1,T,T,0,ShADa,14,1298,13,684,,6,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-07 17:23:43.850567102,CeVjdp3XPJ1BtHIJQh,172.30.0.141,46172,172.30.0.40,80,,,,,,,,,,,,,,,,,1,POST,target_nginx,/rudy,TESTING_PURPOSES_ONLY,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_2) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/33.0.1750.152 Safari/537.36Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_2) AppleWebKit/537.75.14 (KHTML, like Gecko) Version/7.0.3 Safari/537.75.14",,82,0,,,,,(empty),,,,F0fpfL2fKJGLAHHjpf,,text/plain,,,
2026-05-07 17:23:44.184107065,CiKYmYgPmgIC0vSjk,172.30.0.141,46184,172.30.0.40,80,tcp,http,0 days 00:00:50.991010,556,0,S1,T,T,0,ShADa,14,1292,13,684,,6,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-07 17:23:44.184216022,CiKYmYgPmgIC0vSjk,172.30.0.141,46184,172.30.0.40,80,,,,,,,,,,,,,,,,,1,POST,target_nginx,/rudy,TESTING_PURPOSES_ONLY,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_2) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/33.0.1750.152 Safari/537.36Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_2) AppleWebKit/537.75.14 (KHTML, like Gecko) Version/7.0.3 Safari/537.75.14",,76,0,,,,,(empty),,,,Fq2k5z3LpQ0z3aNwn8,,text/plain,,,
2026-05-07 17:23:44.217350960,C2aMuZ3acbWNGzvlx5,172.30.0.10,57940,172.30.0.40,80,tcp,http,0 days 00:00:46.980797,588,14036,S1,T,T,0,ShADad,10,1116,6,14356,,6,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-07 17:23:44.217628002,C2aMuZ3acbWNGzvlx5,172.30.0.10,57940,172.30.0.40,80,,,,,,,,,,,,,,,,,1,GET,target_nginx,/,,1.1,python-requests/2.33.1,,0,3345,200,OK,,,(empty),,,,,,,F9Vh0u1rWdY8NFTe7f,,text/html
2026-05-07 17:23:44.217796087,C6aiWZ123u4LC09w1f,172.30.0.40,35042,172.30.0.30,8080,tcp,http,0 days 00:00:00.003261,166,3520,SF,T,T,0,ShADadFf,7,538,5,3788,,6,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-07 17:23:44.217904091,C6aiWZ123u4LC09w1f,172.30.0.40,35042,172.30.0.30,8080,,,,,,,,,,,,,,,,,1,GET,target_nginx,/,,1.1,python-requests/2.33.1,,0,3345,200,OK,,,(empty),,,,,,,Fzn7Qx2tGd5tukauj,,text/html
2026-05-07 17:23:44.223860025,C2aMuZ3acbWNGzvlx5,172.30.0.10,57940,172.30.0.40,80,,,,,,,,,,,,,,,,,2,GET,target_nginx,/,,1.1,python-requests/2.33.1,,0,3345,200,OK,,,(empty),,,,,,,FDyCVw41Ddr1ZcYUbc,,text/html
2026-05-07 17:23:44.224029064,CVleKh44kT5Eq3Hol8,172.30.0.40,35058,172.30.0.30,8080,tcp,http,0 days 00:00:00.002237,166,3520,SF,T,T,0,ShADadFf,7,538,5,3788,,6,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-07 17:23:44.224149942,CVleKh44kT5Eq3Hol8,172.30.0.40,35058,172.30.0.30,8080,,,,,,,,,,,,,,,,,1,GET,target_nginx,/,,1.1,python-requests/2.33.1,,0,3345,200,OK,,,(empty),,,,,,,FShkd63C8rZLn8ueXg,,text/html
2026-05-07 17:23:44.517784119,C2gDbTbkPYKZzh2x,172.30.0.141,46190,172.30.0.40,80,tcp,http,0 days 00:00:50.657366,555,0,S1,T,T,0,ShADa,14,1291,13,684,,6,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-07 17:23:44.517971992,C2gDbTbkPYKZzh2x,172.30.0.141,46190,172.30.0.40,80,,,,,,,,,,,,,,,,,1,POST,target_nginx,/rudy,TESTING_PURPOSES_ONLY,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_2) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/33.0.1750.152 Safari/537.36Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_2) AppleWebKit/537.75.14 (KHTML, like Gecko) Version/7.0.3 Safari/537.75.14",,75,0,,,,,(empty),,,,FiO0HP1X7kfM72k5v,,text/plain,,,
2026-05-07 17:23:44.851548910,CeMNER1iIwRxvegcVi,172.30.0.141,46194,172.30.0.40,80,tcp,http,0 days 00:00:50.323698,559,0,S1,T,T,0,ShADa,14,1295,13,684,,6,,,,,,,,,,,,,,,,,,,,,,,,
